Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,8,2,0,0,27.72,85.00,1004.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.14,16.50,15.14,18.00,28.09,30.84,15.12
2018,8,2,1,0,27.37,88.00,1003.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.96,12.53,14.84,14.04,27.46,34.32,16.56
2018,8,2,2,0,27.09,89.00,1003.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.24,10.12,15.19,13.71,27.30,41.26,14.76
2018,8,2,3,0,26.88,90.00,1003.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.18,8.13,15.98,14.35,30.42,39.72,15.84
2018,8,2,4,0,26.64,92.00,1003.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89,10.49,16.28,18.03,30.04,44.03,15.84
2018,8,2,5,0,26.49,92.00,1003.70,0.00,0.00,0.00,0.00,0.00,0.00,50.61,0.00,10.14,16.50,16.92,23.84,29.30,47.49,15.48
2018,8,2,6,0,27.02,89.00,1003.80,0.00,0.00,1.00,0.00,0.00,1.00,59.36,38.27,11.97,21.16,16.58,27.12,28.17,51.23,15.48
2018,8,2,7,0,27.91,82.00,1004.10,0.10,0.00,78.00,0.00,78.00,78.00,10.21,139.73,15.95,28.30,18.53,29.05,25.81,59.86,18.00
2018,8,2,8,0,28.24,79.00,1004.40,0.20,0.00,85.00,0.00,85.00,85.00,5.74,161.09,16.12,29.43,17.24,28.71,22.55,65.48,17.64
2018,8,2,9,0,28.76,76.00,1004.50,0.30,0.00,78.00,0.00,78.00,78.00,10.21,222.50,16.60,24.34,16.92,23.84,18.44,51.34,18.00
2018,8,2,10,0,29.08,74.00,1004.70,0.20,0.00,84.00,0.00,84.00,84.00,6.38,275.01,16.85,19.98,17.08,18.43,19.67,34.56,17.28
2018,8,2,11,0,30.05,71.00,1004.40,0.00,0.00,10.00,0.00,0.00,10.00,53.62,385.37,17.99,19.89,18.67,19.13,21.10,36.67,19.08
2018,8,2,12,0,30.48,70.00,1004.20,0.00,0.00,10.00,0.00,0.00,10.00,53.62,651.48,19.81,24.70,19.49,25.14,21.44,40.91,19.44
2018,8,2,13,0,30.00,71.00,1003.80,0.00,0.00,100.00,92.00,0.00,100.00,0.00,520.65,19.97,27.95,20.12,26.57,21.99,39.69,21.24
2018,8,2,14,0,30.10,70.00,1003.30,0.00,0.00,100.00,0.00,0.00,100.00,0.00,480.60,21.07,33.15,21.67,32.11,25.16,33.92,21.96
2018,8,2,15,0,29.31,74.00,1003.30,0.00,0.00,100.00,0.00,0.00,100.00,0.00,249.20,20.38,35.66,20.97,34.51,28.90,39.44,21.96
2018,8,2,16,0,28.76,76.00,1003.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,203.81,19.47,33.69,20.57,32.86,32.89,48.11,22.68
2018,8,2,17,0,28.26,78.00,1003.00,0.20,0.00,77.00,0.00,77.00,77.00,10.85,108.58,18.71,30.02,19.83,29.36,31.83,52.35,21.60
2018,8,2,18,0,27.95,80.00,1002.90,0.50,0.00,100.00,5.00,100.00,93.00,0.00,58.74,17.87,34.33,20.67,35.07,31.49,51.03,22.32
2018,8,2,19,0,27.21,83.00,1003.10,0.00,0.00,100.00,0.00,12.00,100.00,0.00,12.46,17.07,24.94,19.19,23.20,32.60,43.21,20.88
2018,8,2,20,0,28.08,81.00,1002.30,1.20,0.00,100.00,100.00,100.00,100.00,0.00,0.00,19.00,27.05,23.34,26.57,36.47,48.60,24.12
