Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,8,2,0,0,8.18,75.00,1025.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.98,22.52,20.39,20.67,5.45,7.59,9.72
2018,8,2,1,0,7.90,77.00,1025.30,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,16.06,19.65,20.72,17.18,4.38,9.46,10.44
2018,8,2,2,0,7.75,78.00,1025.30,0.00,0.00,3.30,11.00,3.00,0.00,0.00,0.00,16.07,15.59,20.78,14.04,3.42,18.43,10.08
2018,8,2,3,0,7.58,77.00,1025.10,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,16.04,9.04,20.77,8.97,2.74,23.20,9.72
2018,8,2,4,0,7.56,75.00,1025.20,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,15.52,3.99,19.83,3.12,1.53,45.00,11.52
2018,8,2,5,0,7.83,72.00,1025.30,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,14.04,1.47,18.36,360.00,1.44,90.00,10.08
2018,8,2,6,0,8.12,70.00,1025.30,0.00,0.00,42.00,0.00,42.00,0.00,0.00,0.00,12.25,1.68,16.20,360.00,2.60,123.69,8.28
2018,8,2,7,0,8.00,71.00,1025.60,0.00,0.00,43.00,0.00,43.00,0.00,0.00,0.00,10.50,5.91,14.04,360.00,4.69,122.47,8.28
2018,8,2,8,0,7.73,74.00,1026.10,0.00,0.00,36.00,0.00,36.00,0.00,9.08,1.78,8.91,14.04,12.32,6.71,7.09,113.96,6.84
2018,8,2,9,0,8.07,71.00,1025.80,0.00,0.00,0.00,0.00,0.00,0.00,60.00,107.69,6.99,55.49,8.44,50.19,16.10,100.30,5.76
2018,8,2,10,0,9.12,70.00,1026.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,281.24,8.89,58.24,10.00,59.74,18.75,93.30,10.08
2018,8,2,11,0,9.80,65.00,1026.20,0.00,0.00,0.00,0.00,0.00,0.00,60.00,428.09,10.14,62.53,10.79,64.29,20.52,88.99,12.24
2018,8,2,12,0,10.29,62.00,1026.10,0.00,0.00,0.00,0.00,0.00,0.00,60.00,532.22,10.83,68.55,11.50,69.86,22.39,85.39,14.40
2018,8,2,13,0,10.58,61.00,1025.80,0.00,0.00,0.00,0.00,0.00,0.00,60.00,587.40,12.14,78.02,12.78,80.27,23.93,83.09,16.20
2018,8,2,14,0,10.69,60.00,1025.00,0.00,0.00,36.00,30.00,36.00,0.00,37.02,587.40,14.76,90.00,15.84,90.00,25.15,80.94,16.92
2018,8,2,15,0,10.57,61.00,1024.10,0.00,0.00,41.00,15.00,41.00,0.00,33.83,533.11,17.31,93.58,18.81,95.49,25.35,78.53,19.08
2018,8,2,16,0,10.21,60.00,1023.70,0.00,0.00,41.00,0.00,41.00,0.00,33.83,433.43,19.56,96.34,21.79,97.59,24.72,73.94,20.52
2018,8,2,17,0,9.71,62.00,1023.50,0.00,0.00,42.00,0.00,42.00,0.00,33.19,292.81,21.08,97.85,23.73,99.61,23.87,66.91,21.96
2018,8,2,18,0,8.89,66.00,1023.10,0.00,0.00,47.00,0.00,47.00,0.00,7.13,119.26,21.96,100.39,25.70,101.31,22.87,61.82,23.40
2018,8,2,19,0,8.32,74.00,1022.90,0.00,0.00,47.00,0.00,47.00,0.00,0.00,1.78,23.09,100.78,28.24,101.02,22.70,62.62,22.32
2018,8,2,20,0,8.21,80.00,1023.30,0.00,0.00,62.00,0.00,62.00,0.00,0.00,0.00,22.86,97.24,29.02,97.13,23.89,59.18,29.16
2018,8,2,21,0,8.34,86.00,1023.50,0.00,0.00,65.00,0.00,65.00,0.00,0.00,0.00,21.99,92.82,28.84,92.86,28.08,53.86,23.76
2018,8,2,22,0,8.62,89.00,1023.30,0.00,0.00,60.00,2.00,60.00,0.00,0.00,0.00,20.17,87.95,26.70,86.13,35.19,41.68,23.04
2018,8,2,23,0,9.29,85.00,1023.30,0.00,0.00,100.00,2.00,47.00,100.00,0.00,0.00,19.20,83.54,24.80,76.57,47.11,30.29,19.80
2018,8,3,0,0,8.99,85.00,1023.30,0.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00,20.88,90.00,26.30,87.65,43.36,29.33,19.44
2018,8,3,1,0,8.57,92.00,1022.70,0.00,0.00,34.00,0.00,34.00,0.00,0.00,0.00,21.49,98.67,26.53,97.80,38.82,24.66,25.92
2018,8,3,2,0,8.39,94.00,1022.20,0.00,0.00,7.00,0.00,7.00,7.00,0.00,0.00,21.13,98.82,27.15,96.09,31.56,27.15,28.08
2018,8,3,3,0,8.47,94.00,1022.10,0.00,0.00,14.00,0.00,0.00,14.00,0.00,0.00,21.35,95.81,27.06,93.81,28.01,37.16,18.00
2018,8,3,4,0,8.40,94.00,1021.80,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,20.91,92.96,26.64,90.00,26.04,49.48,16.56
2018,8,3,5,0,8.13,94.00,1021.60,0.00,0.00,3.00,0.00,0.00,3.00,0.00,0.00,19.08,91.08,25.26,85.91,25.97,46.12,17.28
2018,8,3,6,0,7.69,95.00,1021.70,0.00,0.00,31.00,0.00,0.00,31.00,0.00,0.00,18.78,85.60,25.57,80.27,26.04,40.52,15.12
2018,8,3,7,0,8.21,95.00,1021.60,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,18.84,83.42,23.58,82.98,26.32,49.99,14.40
2018,8,3,8,0,8.03,95.00,1021.90,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.89,16.75,81.35,19.35,80.36,27.36,57.36,12.96
2018,8,3,9,0,9.32,93.00,1020.70,0.00,0.00,100.00,26.00,7.00,100.00,0.00,58.74,17.37,95.95,21.39,96.77,24.86,55.62,18.00
2018,8,3,10,0,9.53,92.00,1020.50,0.00,0.00,100.00,37.00,95.00,100.00,0.00,157.53,14.42,92.86,17.37,95.95,24.58,58.17,13.32
2018,8,3,11,0,9.71,90.00,1020.70,0.00,0.00,100.00,0.00,45.00,100.00,0.00,254.54,12.25,91.68,14.11,95.86,24.46,57.01,10.08
2018,8,3,12,0,9.99,90.00,1020.80,0.00,0.00,100.00,0.00,6.00,100.00,0.00,327.52,8.56,104.62,9.90,109.09,21.07,56.85,5.76
2018,8,3,13,0,10.77,88.00,1020.40,0.00,0.00,100.00,0.00,0.00,100.00,0.00,373.80,5.62,129.81,6.62,135.00,16.79,59.04,3.96
2018,8,3,14,0,11.94,85.00,1019.80,0.00,0.00,100.00,0.00,0.00,100.00,0.00,404.95,4.83,153.43,5.15,155.22,15.58,56.31,3.60
2018,8,3,15,0,13.01,83.00,1019.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,407.62,5.51,168.69,5.45,172.41,13.51,48.24,5.04
2018,8,3,16,0,13.46,81.00,1018.90,0.00,0.00,100.00,0.00,0.00,100.00,0.00,274.12,6.52,173.66,6.88,173.99,9.29,35.54,5.40
2018,8,3,17,0,13.71,80.00,1018.70,0.00,0.00,35.00,0.00,0.00,35.00,37.66,119.26,6.29,166.76,7.17,162.47,7.70,10.78,9.00
2018,8,3,18,0,13.51,80.00,1019.00,0.00,0.00,19.00,0.00,0.00,19.00,11.95,48.06,6.64,167.47,8.12,167.20,6.64,347.47,10.44
2018,8,3,19,0,13.12,81.00,1019.40,0.00,0.00,41.00,0.00,0.00,41.00,0.00,0.89,6.16,173.29,9.47,171.25,3.62,275.71,8.64
2018,8,3,20,0,12.44,83.00,1020.00,0.00,0.00,19.00,0.00,0.00,19.00,0.00,0.00,5.76,180.00,10.85,174.29,4.61,231.34,11.88
2018,8,3,21,0,11.74,87.00,1020.40,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,5.15,192.09,10.09,177.95,5.40,216.87,9.72
2018,8,3,22,0,10.99,91.00,1020.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.19,213.69,8.67,184.76,6.30,210.96,9.36
2018,8,3,23,0,10.04,95.00,1020.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.41,231.84,9.34,207.55,8.40,210.96,9.72
2018,8,4,0,0,9.25,96.00,1020.50,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,8.79,235.01,14.76,225.00,12.68,214.59,13.68
2018,8,4,1,0,9.13,96.00,1020.70,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,11.97,226.22,16.30,223.21,17.24,208.71,18.00
2018,8,4,2,0,8.96,96.00,1020.60,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,13.55,219.61,17.29,211.37,21.41,207.00,22.32
2018,8,4,3,0,8.79,96.00,1020.50,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,14.19,215.71,19.69,210.78,25.60,207.65,23.76
2018,8,4,4,0,8.58,96.00,1020.80,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,15.58,220.31,21.03,218.05,29.88,201.93,25.92
2018,8,4,5,0,8.02,96.00,1020.80,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,14.90,217.15,19.08,211.89,29.08,201.80,19.80
2018,8,4,6,0,7.63,96.00,1020.70,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,13.28,220.60,16.49,216.12,24.80,205.82,24.48
2018,8,4,7,0,7.36,95.00,1021.10,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,11.99,228.65,15.02,225.97,21.52,197.53,23.76
