Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation daily sum [sfc],Snowfall amount raw daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2018,8,2,0,0,-39.28,55.75,1010.09,0.00,0.00,18.25,0.00,0.00,18.25,221.85,281.24,48.10,122.88,59.03,106.79,42.03,111.01,44.21,-35.02,-42.30,66.00,49.00,1013.20,1006.70,51.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,56.22,44.65,65.19,46.23,46.45,37.50,51.48,41.04
2018,8,3,0,0,-39.90,52.25,1013.26,0.00,0.00,0.08,0.00,0.08,0.00,363.17,297.26,56.20,127.02,62.72,110.63,51.11,117.95,48.17,-36.62,-42.52,57.00,48.00,1021.70,1007.90,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,66.97,45.95,82.49,49.45,63.29,39.85,54.36,43.20
2018,8,4,0,0,-36.54,51.71,1023.38,0.00,0.00,42.50,40.46,42.29,19.67,266.60,356.00,66.85,123.15,72.56,116.27,61.25,115.19,52.90,-29.29,-41.79,54.00,50.00,1026.80,1018.50,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,72.00,63.41,81.65,63.50,67.56,54.66,58.32,47.16
2018,8,5,0,0,-28.82,54.58,1019.45,0.20,0.14,79.96,79.46,79.88,79.50,0.00,280.35,68.30,113.98,78.44,106.70,65.41,108.25,56.13,-26.67,-34.32,61.00,49.00,1027.30,1016.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,76.62,57.11,89.97,58.46,75.13,49.75,93.24,46.08
2018,8,6,0,0,-34.89,54.17,1024.42,0.00,0.00,0.25,0.83,0.00,0.00,446.05,387.15,69.30,131.82,85.36,120.82,59.56,127.25,66.48,-30.31,-37.22,56.00,47.00,1030.20,1014.20,0.90,0.00,3.00,0.00,0.00,0.00,0.00,0.00,74.33,65.45,119.42,67.30,69.44,50.23,74.16,56.52
2018,8,7,0,0,-34.82,48.46,1011.51,0.00,0.00,0.00,0.00,0.00,0.00,454.13,419.19,79.55,134.35,111.80,131.91,72.56,134.28,76.00,-31.46,-38.31,52.00,46.00,1015.10,1007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.01,74.59,120.75,96.69,83.57,63.15,88.56,70.56
2018,8,8,0,0,-41.14,50.58,1008.85,0.00,0.00,6.71,0.00,0.00,6.71,461.70,448.56,69.03,127.35,83.25,121.67,62.81,125.08,64.95,-38.84,-43.42,56.00,45.00,1010.10,1007.30,33.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,83.55,51.82,101.20,56.19,82.76,40.89,93.24,50.04
2018,8,9,0,0,-38.78,55.33,1015.42,0.00,0.00,23.12,0.00,12.75,20.83,350.50,481.49,48.48,127.18,56.18,98.26,38.29,117.09,42.04,-37.70,-40.49,62.00,52.00,1022.90,1009.90,59.00,0.00,0.00,0.00,34.00,0.00,59.00,0.00,52.07,44.07,65.89,44.92,46.09,27.37,47.52,38.16
2018,8,10,0,0,-36.22,57.17,1021.57,0.00,0.00,0.50,0.00,0.00,0.50,416.85,500.18,57.32,127.20,76.48,113.87,48.43,118.94,49.09,-33.75,-39.13,59.00,53.00,1024.00,1019.20,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,71.64,48.89,90.87,63.74,66.41,37.52,62.28,39.60
2018,8,11,0,0,-37.02,51.62,1017.54,0.00,0.00,0.00,0.00,0.00,0.00,424.41,548.24,81.73,131.19,96.99,124.01,69.27,129.53,82.74,-35.00,-39.51,58.00,43.00,1020.80,1014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.62,72.94,106.09,79.71,85.55,60.51,112.32,64.08
2018,8,12,0,0,-37.30,52.21,1011.17,0.00,0.00,0.00,0.00,0.00,0.00,431.95,568.71,70.36,120.79,80.65,112.29,58.82,116.56,64.12,-30.76,-42.75,57.00,45.00,1015.60,1007.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.62,61.18,97.86,70.38,79.51,47.47,71.64,59.76
2018,8,13,0,0,-34.64,52.96,1009.95,0.00,0.00,0.00,0.00,0.00,0.00,379.47,609.65,60.27,128.83,73.56,120.39,53.85,123.24,53.80,-32.90,-36.35,55.00,49.00,1011.70,1007.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.10,57.67,85.18,63.10,60.69,48.36,60.48,50.04
2018,8,14,0,0,-33.37,53.88,1009.19,0.00,0.00,0.00,0.00,0.00,0.00,386.97,640.80,61.00,127.01,85.91,123.95,52.00,119.87,54.84,-31.00,-36.23,58.00,46.00,1010.80,1007.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.35,55.08,88.88,81.90,78.71,40.41,67.68,46.44
